Team,Player
Sunrisers Hyderabad,HV Patel
Sunrisers Hyderabad,Harsh Dubey
Sunrisers Hyderabad,Ishan Kishan
Sunrisers Hyderabad,JD Unadkat
Sunrisers Hyderabad,LS Livingstone
Sunrisers Hyderabad,Nithish Kumar Reddy
Sunrisers Hyderabad,PJ Cummins
Sunrisers Hyderabad,PP Hinge
Sunrisers Hyderabad,S Arora
Sunrisers Hyderabad,Sakib Hussain
Sunrisers Hyderabad,Shivang Kumar
Sunrisers Hyderabad,TM Head
